Z	sym	I L	I S	II L	II S
1	H	0	0.5	0	0
2	He	0	0	0	0.5
3	Li	0	0.5	0	0
4	Be	0	0	0	0.5
5	B	1	0.5	0	0
6	C	1	1	1	0.5
7	N	0	1.5	1	1
8	O	1	1	0	1.5
9	F	1	0.5	1	1
10	Ne	0	0	1	0.5
11	Na	0	0.5	0	0
12	Mg	0	0	0	0.5
13	Al	1	0.5	0	0
14	Si	1	1	1	0.5
15	P	0	1.5	1	1
16	S	1	1	0	1.5
17	Cl	1	0.5	1	1
18	Ar	0	0	1	0.5
19	K	0	0.5	0	0
20	Ca	0	0	0	0.5
21	Sc	2	0.5	2	1
22	Ti	3	1	3	1.5
23	V	3	1.5	2	2
24	Cr	0	3	0	2.5
25	Mn	0	2.5	0	3
26	Fe	2	2	2	2.5
27	Co	3	1.5	3	1
28	Ni	3	1	2	0.5
29	Cu	0	0.5	0	0
30	Zn	0	0	0	0.5
31	Ga	1	0.5	0	0
32	Ge	1	1	1	0.5
33	As	0	1.5	1	1
34	Se	1	1	0	1.5
35	Br	1	0.5	1	1
36	Kr	0	0	1	0.5
37	Rb	0	0.5	0	0
38	Sr	0	0	0	0.5
39	Y	2	0.5	0	0
40	Zr	3	1	3	1.5
41	Nb	2	2.5	2	2
42	Mo	0	3	0	2.5
43	Tc	0	2.5	0	3
44	Ru	3	2	3	1.5
45	Rh	3	1.5	3	1
46	Pd	0	0	2	0.5
47	Ag	0	0.5	0	0
48	Cd	0	0	0	0.5
49	In	1	0.5	0	0
50	Sn	1	1	1	0.5
51	Sb	0	1.5	1	1
52	Te	1	1	0	1.5
53	I	1	0.5	1	1
54	Xe	0	0	1	0.5
55	Cs	0	0.5	0	0
56	Ba	0	0	0	0.5
57	La	2	0.5	3	1
58	Ce	4	0	5	1.5
59	Pr	5	1.5	4.5	0.5
60	Nd	5	2	5	2
61	Pm	4	2.5	4	3
62	Sm	3	3	3	3.5
63	Eu	0	3.5	0	4
64	Gd	2	4	2	4.5
65	Tb	4	2.5	7.5	0.5
66	Dy	5	2	8	0.5
67	Ho	5	1.5	7.5	0.5
68	Er	4	1	6	0.5
69	Tm	3	0.5	3.5	0.5
70	Yb	0	0	0	0.5
71	Lu	2	0.5	0	0
72	Hf	3	1	2	0.5
73	Ta	3	1.5	3	2
74	W	2	2	2	2.5
75	Re	0	2.5	0	3
76	Os	2	2	2	2.5
77	Ir	3	1.5	3	2
78	Pt	2	1	2	0.5
79	Au	0	0.5	0	0
80	Hg	0	0	0	0.5
81	Tl	1	0.5	0	0
82	Pb	0.5	0.5	1	0.5
83	Bi	0	1.5	1	1
84	Po	1	1	0	1.5
85	At	1	0.5	1	1
86	Rn	0	0	1	0.5
87	Fr	0	0.5	0	0
88	Ra	0	0	0	0.5
89	Ac	2	0.5	0	0
90	Th	3	1	2	0.5
91	Pa	6	1.5	4	1
92	U	7	2	5	1.5
93	Np	7	2.5	7	3
94	Pu	3	3	3	3.5
95	Am	0	3.5	0	4
96	Cm	2	4	0	3.5
97	Bk	4	2.5	4	3
98	Cf	5	2	5	2.5
99	Es	5	1.5	5	2
100	Fm	4	1	4	1.5
